"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Chloroflexi","Acidobacteria","Verrucomicrobia","Fusobacteria","Deinococcus_Thermus","Fibrobacteres","Tenericutes","Spirochaetae","Cyanobacteria","Synergistetes","Nitrospirae","Planctomycetes","WSA2","Chlorobi","Tectomicrobia","Lentisphaerae","Euryarchaeota","Parcubacteria","Armatimonadetes","Gemmatimonadetes","Latescibacteria","Elusimicrobia"
"X206762",0.1255387931034483,0.5056872605363989,0.35907567049808403,0.00903975095785441,0.0,0.0,0.0,0.000658524904214559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206761",0.09098266388380116,0.36337692209396416,0.5366102994420067,0.0085189760190825,0.0,0.0,0.0,0.00051113856114495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206767",0.1243224640798417,0.3264217499784909,0.5181966789985369,0.0014626172244687255,0.0,0.0,0.0,0.0295964897186613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206766",0.033638759884523646,0.4006945316095559,0.5490565248315967,0.000962302832517468,0.0,0.0,0.0,0.0155642023346304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3678507175432e-05
"X206769",0.7675276752767526,0.16974169741697415,0.014760147601476,0.0479704797047971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206768",0.6562360303978544,0.25748770675011134,0.03933839964237821,0.02548055431381316,0.0,0.0,0.0,0.0116227089852481,0.0,0.0,0.0,0.0,0.00178810907465355,0.0,0.00178810907465355,0.0,0.00447027268663388,0.0,0.0,0.0,0.00178810907465355,0.0,0.0,0.0,0.0,0.0
"X206770",0.031875264027036346,0.5578939283382622,0.4057759514574291,0.004339644379584469,0.0,3.84039325626944e-05,0.0,7.68078651253888e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224330",0.05848876135820178,0.42429459588713525,0.505260640841703,0.010951697752271634,0.000143472022955524,0.0,0.000191296030607365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000286944045911047,0.00038259206121473,0.0,0.0
"X224327",0.1615150195907711,0.3707879843273841,0.45707444492816673,0.010491946016543291,0.0,0.0,0.000130605137135394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224328",0.15422543286320384,0.35366739288307925,0.4832396896380384,0.00871459694989107,0.0,0.0,0.0,0.000152887665787563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224325",0.11518949567293345,0.3416890480453598,0.5408460161145925,0.0014920919128618318,0.0,0.0,0.0,0.000783348254252462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224326",0.12962962962962965,0.3850043533587836,0.4844953452548391,0.00040184850311432625,0.0,0.0,3.34873752595272e-05,0.000435335878373853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224324",0.13231749311294763,0.24440426997245135,0.6219869146005508,0.0010761019283746565,0.0,0.0,0.0,0.0002152203856749312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224323",0.10208312266154315,0.40610779654161194,0.49008999898877526,0.0012640307412276261,0.0,0.0,5.05612296491051e-05,0.000404489837192841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219633",0.014048059149722738,0.8445471349353052,0.14041897720271107,0.0008009858287122626,0.0,0.0,0.0,0.000184842883548983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219634",0.01953611457036115,0.8931351183063501,0.0832814445828144,0.00311332503113325,0.0,0.0,0.0,0.000933997509339975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219637",0.32499999999999996,0.15,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219638",0.024068558925423904,0.8641585121254486,0.09268826353856438,0.012642071354768122,0.0,0.0,0.0,0.0064425940557953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219643",0.010387958448166219,0.73627305490778,0.22334110663557355,0.015581937672249298,0.0,0.0,0.000688997244011024,0.000370998516005936,0.0,0.0,0.0,0.0,0.0133559465762137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219644",0.000650336006936917,0.9250379362670715,0.07331454584868843,0.000823758942120095,0.0,0.0,0.0,0.000173422935183178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219646",0.01598637847041579,0.6671711677623798,0.31201816203944543,0.004776994750035477,0.0,0.0,0.0,4.72969777231235e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219645",0.02327093083723353,0.5354047495233142,0.43863754550182,0.0024700988039521622,0.0,0.0,4.33350667360028e-05,0.000130005200208008,0.0,0.0,0.0,0.0,4.33350667360028e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219652",0.014489218460337598,0.7031905551761141,0.2051419650697624,0.06498194945848375,0.0,0.000146355742023612,0.00131720167821251,4.8785247341204e-05,0.0,0.0,0.0,0.0,0.010683969167723704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219651",0.012014044587334486,0.7213926139007572,0.22733618173357512,0.027623841956089478,0.0,0.0,0.000423029738990651,4.23029738990651e-05,0.0,0.0,0.0,0.0,0.0111679851093532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219659",0.06301106301106293,0.38768638768638775,0.2895622895622892,0.08946608946608955,0.0,0.0,0.164502164502165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00577200577200577,0.0,0.0,0.0,0.0,0.0
"X219653",0.09415113871635614,0.5238612836438916,0.2948757763975156,0.0016563146997929598,0.0,0.0,0.055175983436853,0.0212732919254658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00900621118012422,0.0,0.0,0.0,0.0,0.0
"X219654",0.049273953460113054,0.6425663770581447,0.17692447900844543,0.015189258156631606,0.0,0.0,0.0974542803329485,0.00528586183850781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133057901452093,0.0,0.0,0.0,0.0,0.0
"X219693",0.032347282347282375,0.9155844155844161,0.048460798460798434,0.0034872534872534837,0.0,0.0,0.0,0.0,0.00012025012025012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219656",0.04247064828994387,0.6507401735579379,0.30056151097498757,0.002246043899948953,0.0,0.0,0.00296069423175089,0.00102092904543134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
