"","Betaproteobacteria","Clostridia","Bacteroidia","Alphaproteobacteria","Actinobacteria","Gammaproteobacteria","JG30_KF_CM66","Thermoleophilia","Bacilli","Negativicutes","Flavobacteriia","Erysipelotrichia","Fusobacteriia","Coriobacteriia","Fibrobacteria","Deinococci","Chloroflexia","Spirochaetes","Acidimicrobiia","Melainabacteria","Deltaproteobacteria","Synergistia","Caldilineae","Planctomycetacia","Spartobacteria","OPB35_soil_group","Sphingobacteriia","Tectomicrobia(phylum)","Lentisphaeria","Subgroup_6","Nitrospira","Candidatus_Falkowbacteria","Cytophagia","Gitt_GS_136","Epsilonproteobacteria","Cyanobacteria(phylum)","Holophagae","Opitutae","Oligosphaeria","Chloroplast","Solibacteres","KD4_96","Verrucomicrobiae","Cyanobacteria","UA11","Elusimicrobia"
"X206570",0.0111712340723,0.354581951475,0.262070169314,0.214382963868,0.000279280851807,0.00178041543027,0.0,0.0,0.00198987606912,0.0109268633269,0.0,0.000802932448944,0.000279280851807,0.0,0.0,0.0,0.0,0.0,0.0,0.0126025484378,0.0149415255717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000349101064758,0.0,0.0,0.0,0.0,0.0,0.000139640425903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113702216792,0.0,0.0,0.0
"X206569",0.00608695652174,0.281904761905,0.313084886128,0.194451345756,0.000579710144928,0.00215320910973,0.0,0.0,0.00173913043478,0.0105590062112,0.0,0.000372670807453,0.0,8.28157349896e-05,0.0,0.0,0.0,0.0,0.0,0.0221118012422,0.00898550724638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.28157349896e-05,0.0,0.0,0.0,0.0,0.0,0.000124223602484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15768115942,0.0,0.0,0.0
"X215067",0.0292170044988,0.361017034828,0.24318859627,0.0426628923823,0.00020219380276,0.00166809887277,0.0,0.0,0.00106151746449,0.112268108982,0.0,0.00176919577415,0.0,0.00040438760552,0.00010109690138,0.0,0.0,0.0,0.0,0.0239599656271,0.00626800788556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176211899105,0.0,0.0,0.0
"X206604",0.192256478541,0.414114513981,0.262419338318,0.0,0.0101403257196,0.0703677148417,0.0,0.0,0.0102427532521,0.00911605039435,0.00102427532521,0.0112670285773,0.0,0.000512137662604,0.0,0.0,0.0,0.0,0.0,0.0,0.0127010140326,0.0,0.0,0.0,0.0,0.0,0.000102427532521,0.0,0.000512137662604,0.0,0.0,0.0,0.000102427532521,0.0,0.0,0.0,0.0,0.0,0.000204855065041,0.00122913039025,0.0,0.0,0.00368739117075,0.0,0.0,0.0
"X206605",0.228708197593,0.393058972143,0.282428030051,0.0,0.000199454823482,0.0511934046938,0.0,0.0,0.000731334352769,0.0114354098797,6.64849411608e-05,0.00731334352769,0.00505285552822,0.00079781929393,0.0,0.0,0.0,0.0,0.0,0.0,0.0177514792899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00106375905857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000199454823482,0.0,0.0,0.0
"X206608",0.0246931000423,0.391985325243,0.525680824044,0.0,0.000282206857627,0.0117115845915,0.0,0.0,0.000987724001693,0.00338648229152,0.0,0.00747848172711,0.0,0.000282206857627,0.0,0.0,0.0,0.0,0.0,0.0,0.0305488923381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00063496542966,0.0,0.0,0.0,0.0,0.00232820657542,0.0,0.0,0.0
"X206609",0.0219639515414,0.351718703831,0.526740864769,0.0,0.000196986112479,0.0186151876293,0.0,0.0,0.000984930562395,0.00265931251847,0.0,0.014379986211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0585048754063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000295479168719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00393972224958,0.0,0.0,0.0
"X215085",0.0195530726257,0.26303538175,0.586359404097,0.00721601489758,0.0246741154562,0.014199255121,0.0,0.0,0.0311918063315,0.0155959031657,0.0,0.0130353817505,0.0,0.0,0.0,0.0,0.0,0.0,0.00139664804469,0.0,0.0232774674115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000465549348231,0.0,0.0,0.0,0.0,0.0,0.0
"X215084",0.0430544272949,0.320064987815,0.528513403737,0.000487408610885,0.000324939073924,0.0248578391552,0.0,0.0,0.00259951259139,0.0227457351747,0.0,0.00926076360682,0.0183590576767,0.000162469536962,0.0,0.0,0.0,0.0,0.0,0.0,0.0295694557271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X214995",0.0347124230965,0.387763165321,0.49240842129,0.000338657786307,0.011006378055,0.0018061748603,0.0,0.0,0.0239882598634,0.0252300050799,0.000112885928769,0.0173844330304,0.0040074504713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00050798667946,0.0,0.0,0.0,0.0,0.0,0.000225771857538,0.0,0.000395100750691,0.0,0.000112885928769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X214994",0.0318491225879,0.386061325173,0.520139886342,0.0,0.00293511521888,0.00562043339786,0.0,0.0,0.0133641416349,0.0249172547305,0.00274776743896,0.00849309935677,0.00324736151877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000187347779929,0.0,0.0,0.0,0.0,0.000374695559858,0.0,0.0,6.24492599763e-05,0.0,0.0,0.0
"X215075",0.00654390503729,0.472480089281,0.456703698067,5.07279460255e-05,0.00202911784102,0.0457058793689,0.0,0.0,0.00882666260843,0.00466697103434,0.0,0.00121747070461,0.000355095622178,0.000355095622178,0.0,0.0,0.0,0.0,0.0,0.0,0.000913103028458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000152183838076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215076",0.000805355614839,0.492172950118,0.425328434087,0.0,0.00206372376302,0.0588916293351,0.0,0.0,0.0160567775708,0.00231539739266,0.0,0.000805355614839,0.000604016711129,0.000604016711129,0.0,0.0,0.0,0.0,0.0,0.0,0.00020133890371,0.0,0.0,0.0,0.0,0.0,0.000100669451855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03347259274e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
